Portefeuille_Thematique,N_Observations,N_Train,N_Test,RMSE_Linear_Simple,Stabilite_MAD_Linear_Simple,Stabilite_Turnover_Linear_Simple,Stabilite_Vol_Linear_Simple,RMSE_Linear_WF,Stabilite_MAD_Linear_WF,Stabilite_Turnover_Linear_WF,Stabilite_Vol_Linear_WF,RMSE_Ridge,Ridge_Alpha,Stabilite_MAD_Ridge,Stabilite_Turnover_Ridge,Stabilite_Vol_Ridge,RMSE_Genetic,Stabilite_MAD_Genetic,Stabilite_Turnover_Genetic,Stabilite_Vol_Genetic,RMSE_MeanVar,Stabilite_MAD_MeanVar,Stabilite_Turnover_MeanVar,Stabilite_Vol_MeanVar
MSCI ACWI IMI Accelerating Change Index,61,42,19,0.020968436231891926,0.0,0.0,0.0,0.021822160380718884,0.06136536812915913,0.3969798454234128,0.07646945365519812,0.01981344195909709,0.0069519279617756054,0.035103580863469215,0.21122915964211925,0.04193905669387397,0.02199436025057986,0.07391021720412827,0.8877891684054579,0.08966723982340168,0.021131481722210712,0.03658845301152111,0.18777898933015386,0.04018227149230297
MSCI ACWI IMI Ageing Society Opportunities Index,61,42,19,0.009311961527900285,0.0,0.0,0.0,0.011182216879824812,0.03985689207369767,0.3010552847154034,0.04792527693734261,0.01755849744756591,0.12742749857031335,0.00608968870299402,0.03400695766646827,0.007277908175677553,0.012661632315193088,0.051349366561946566,0.4636584737070985,0.060560210957333056,0.012860260600124199,0.029249060910693868,0.166680756098218,0.03410025587143603
MSCI ACWI IMI Blockchain Economy Index,61,42,19,0.07998108487569795,0.0,0.0,0.0,0.08834092703546816,0.06946096947096374,0.5632287174884328,0.08661479056997337,0.08724590067374213,0.0026366508987303583,0.06121922454066423,0.5065685921791381,0.07495344901054835,0.06703369157876443,0.1665406849951326,2.452757862051407,0.2031054699290842,0.08500444237051503,0.03987647693164533,0.3787433568121775,0.04964346216117681
MSCI ACWI IMI Clean Energy Infrastructure Index,61,42,19,0.03135549369153543,0.0,0.0,0.0,0.026253872971592533,0.056073563442633714,0.3583737754118505,0.06769387606944309,0.02516337958518482,0.011288378916846888,0.02502612550005913,0.16478931401279345,0.030946542787559574,0.025654420899905498,0.08475656545417495,1.1415345000124697,0.10206176321750891,0.02799136778656777,0.025443095671623814,0.20939754704296767,0.03053356309108081
MSCI ACWI IMI Digital Economy,61,42,19,0.0076439411590073095,0.0,0.0,0.0,0.00934965641074617,0.02142622129686107,0.12478255024671639,0.025479535624453417,0.009088940185105098,0.001,0.01979253781079271,0.11153986312417012,0.02318955238930244,0.008416544880523059,0.047754824411376545,0.5557198425387521,0.05774140249451103,0.008538206649867914,0.011071693895535901,0.07511843759589523,0.014003425688462377
MSCI ACWI IMI Disruptive Technology,61,42,19,0.00807728942685517,0.0,0.0,0.0,0.008629279832915964,0.03575731832340033,0.19304847698934444,0.04098529523189288,0.008034702219349443,0.001,0.030332473105730985,0.1651008888263759,0.03505501633984631,0.008229109702854034,0.041036936372471765,0.47553290225008105,0.0516559913161965,0.008465331260426465,0.017210845513232906,0.09149658738490543,0.020495946667373463
MSCI ACWI IMI Future Education Index,61,42,19,0.0350069071932622,0.0,0.0,0.0,0.03789833816440264,0.06898672124462406,0.39894950900049175,0.0864432472373578,0.03581713594564671,0.011288378916846888,0.04972095246258255,0.2905651604611022,0.05901736989112527,0.0458086137539775,0.1675864313029378,1.8147486110247744,0.21549740530957334,0.03315687250221343,0.04514744619341431,0.23230096949488535,0.05610398800379453
MSCI ACWI IMI Efficient Energy Index,61,42,19,0.038693244118736765,0.0,0.0,0.0,0.029743955879239944,0.07821996439865368,0.41530317395576777,0.09491134193363973,0.030468720066550024,0.004281332398719396,0.05403827937903714,0.3523831434076155,0.06472248574868955,0.02971995432684191,0.127459101521179,1.344838231535854,0.16203700890624378,0.031892918554543265,0.0493746545620831,0.2555092881924227,0.059066513598626295
MSCI ACWI IMI Food Revolution Index,61,42,19,0.02111070493257825,0.0,0.0,0.0,0.014240152423529245,0.03663911476291589,0.21433076234336038,0.045152409119436875,0.01547443223167651,0.0026366508987303583,0.038368228228299404,0.253486011155888,0.046064125101851185,0.02067885884169303,0.07447509908294649,0.8058006046756371,0.09083969847824104,0.014906649431837296,0.0204790305292118,0.14908255952975102,0.023695990541774646
MSCI ACWI IMI Fintech Innovation Index,61,42,19,0.023948089563174776,0.0,0.0,0.0,0.01708908345030543,0.06908167258361864,0.38457812659804724,0.08102220475884955,0.01715330900570358,0.011288378916846888,0.030470927613229233,0.17409971813555514,0.03643213493529465,0.017539916855264893,0.08064823736493809,0.6917986091355051,0.09284145700401907,0.01914995396500504,0.04550601010182927,0.20085549057905547,0.049788760615063786
MSCI ACWI IMI Genomic Innovation Index,61,42,19,0.028819890011021178,0.0,0.0,0.0,0.0316873088237266,0.06058039311419849,0.33911187533532483,0.07387866203500991,0.03152277750850298,0.001,0.05526865698049511,0.32139197161703553,0.06742076067500322,0.03181228008459139,0.12063100292346021,1.3592572254543116,0.14664666095723766,0.034112011068786564,0.03782607501545997,0.24147594863520971,0.0461670182813306
MSCI ACWI IMI Next Generation Internet Innovation,61,42,19,0.010218547487158443,0.0,0.0,0.0,0.011291011527179144,0.029200478772383676,0.1615120816257931,0.034936332989635936,0.010272380244971029,0.001,0.025206395062056592,0.13295598951018775,0.030158493320740276,0.010997921017342071,0.053619806422530114,0.5751498562550553,0.06550061110745026,0.010779067581325581,0.013963002900710146,0.09876681182900922,0.016598510129359752
MSCI ACWI IMI Digital Health,61,42,19,0.011551346334328881,0.0,0.0,0.0,0.013119003476726733,0.04385080440321946,0.19771691257997795,0.05308550345827754,0.023843382156036947,10.0,0.00010875650970294923,0.0006872097281532356,0.00014161109475123725,0.015090009064770218,0.0770038279390349,0.8036941905275802,0.0946547278943088,0.01795464113309396,0.03405629754921201,0.2065400485874316,0.04211046211421865
MSCI ACWI IMI Innovation Index,61,42,19,0.02019019064799578,0.0,0.0,0.0,0.015783810983699596,0.057172095865192264,0.27125712117745937,0.06734182203765342,0.015363841439058395,0.001,0.048415566647227015,0.2225046926421904,0.0571910558765425,0.018144649937106416,0.07346766132563454,0.8181636208352898,0.09111572608843001,0.017579785805910537,0.03777729036383511,0.16864736130099608,0.041409794484878006
MSCI ACWI IMI Future Mobility Index,61,42,19,0.021239160529681844,0.0,0.0,0.0,0.01803160527536657,0.05668468293234143,0.2562191229753152,0.06438288221411798,0.017690102209697293,0.001,0.054857991813765224,0.238283552290726,0.06169059868051129,0.027814509046893955,0.10936446224043263,1.1733307475612307,0.13300084884318777,0.019497899156996425,0.03478605295392621,0.16772551092817445,0.04074371294324496
MSCI ACWI IMI Millennials Index,61,42,19,0.017073789481531702,0.0,0.0,0.0,0.010488390826169815,0.04672552707019134,0.26740249522099413,0.05321642246236271,0.009317316354992963,0.0026366508987303583,0.030491833277255284,0.17972318349123906,0.03621665374887671,0.010203545338448104,0.04805148414935663,0.4481375837538881,0.05708503546760016,0.01074561923972795,0.03234751710007309,0.13707271362304854,0.03601305738198171
MSCI ACWI IMI Natural Resources Stewardship Index,61,42,19,0.015685494679167796,0.0,0.0,0.0,0.014865869640305923,0.060601096982810354,0.3954512121781313,0.07023579191017677,0.014984175325628318,0.001,0.04632473314068652,0.3176601823323016,0.053837553060947056,0.012380288647997574,0.05320033392373107,0.4447987758995587,0.06227508287097148,0.015013298696189132,0.027088518445694282,0.14798833181649385,0.031643056310658405
MSCI ACWI IMI Plastics Transition Index,61,42,19,0.016644542076967594,0.0,0.0,0.0,0.014160154430832005,0.07667325542634502,0.4321193533528408,0.08775803355660276,0.014223077357948328,0.001,0.05652454361166046,0.27735745063143646,0.06468168276303775,0.014928209719761273,0.06506829955037359,0.43806795766245793,0.07808530330983886,0.01574035350186274,0.04347287516182635,0.19030645492294476,0.05005399585425144
MSCI ACWI IMI Robotics Index,61,42,19,0.016149647692916217,0.0,0.0,0.0,0.013544643855490182,0.03889651105122658,0.24441762560964003,0.046817126478359075,0.013592652720792789,0.001,0.03746628846197473,0.21624369891764592,0.044288354998374274,0.016470589485673683,0.07622349487443184,0.9743472753844205,0.0944443590772042,0.013940525351095218,0.025153065685117843,0.14242926687956242,0.029776566396637293
MSCI ACWI IMI Cybersecurity Index,61,42,19,0.03330311040911808,0.0,0.0,0.0,0.03577314454760989,0.06908260975870664,0.38385211548633125,0.08345594911426146,0.034497128499083714,0.0069519279617756054,0.05784259058292663,0.3231324680796902,0.06831450335493819,0.0356541156319286,0.17583586233243784,1.8816552291967785,0.21206331465858277,0.03467360253180201,0.0485683779569621,0.2049325276966082,0.05378594187826591
MSCI ACWI IMI Sharing Economy Index,61,42,19,0.012481941145447659,0.0,0.0,0.0,0.015940904591692458,0.048225442160468514,0.25507338944155883,0.05792096129624696,0.015140926799425823,0.001,0.040081434750542294,0.2149241300088731,0.047372551658199424,0.014944434586067477,0.061310109699681654,0.6568070401462364,0.0761509846750256,0.01218641032295769,0.018922924021629758,0.11263699889357569,0.022169070307225237
MSCI ACWI IMI Smart Cities Index,61,42,19,0.010997307530786595,0.0,0.0,0.0,0.01374709897111504,0.047146204108909184,0.27275839667485335,0.05599280955704753,0.013524196623908854,0.001,0.045410863553583036,0.24805679766534106,0.05349641840528364,0.01492433602308384,0.06804443802328176,0.7792400531026019,0.08450281749144226,0.011942341478382803,0.01935863989434673,0.11223903306291705,0.02245605497808292
MSCI ACWI IMI Space Exploration Index,61,42,19,0.021584120912770045,0.0,0.0,0.0,0.024742195099061975,0.0799306895365531,0.4765817983056132,0.09281790714331034,0.024295668110982226,0.001,0.07304677112391317,0.4077816512319882,0.08391639498537204,0.025593873089755168,0.10466337661953558,0.9999770355832452,0.12504651347567747,0.026062434019630213,0.04838938946450131,0.2538655404982183,0.05669745571931061
MSCI ACWI IMI Sustainable Water Transition Index,61,42,19,0.01189664666682888,0.0,0.0,0.0,0.012224812437706132,0.03494273831118561,0.23624943445970809,0.042292753567284985,0.013840088695907058,0.001,0.03605248616136394,0.2651944010144165,0.04262051115321056,0.013970470770577035,0.05362913104513571,0.5548170046050802,0.06460449374082147,0.01223766643220592,0.021498176801551677,0.14445535782404856,0.025952385420673598
MSCI ACWI IMI Robotics & AI index,61,42,19,0.009934955004357265,0.0,0.0,0.0,0.011431615447851592,0.03581088327458343,0.14871702434131165,0.04356269676680216,0.01078069638208113,0.001,0.03250418027462564,0.14257121694440483,0.03949090851597539,0.011490649307687879,0.07296995481772973,0.8355105056283328,0.08930618909248994,0.010155050451448896,0.017620281183388913,0.08981341924507208,0.019948804801108302
MSCI ACWI IMI INNOVATION SELECT ESG SCREEN 200,61,42,19,0.018079015030857782,0.0,0.0,0.0,0.01442234727434319,0.05798987317577026,0.28297229110549815,0.0671995391419698,0.013975409568027926,0.001,0.04885858438500406,0.2333751226058605,0.05673138502663202,0.016948837819117723,0.06912793448517678,0.6363738045295615,0.08112430684895626,0.01624070245766566,0.03877417784306453,0.16756219799833494,0.04185075507978189
MSCI ACWI IMI FINTECH INNOVATION SELECT ESG SCREEN 100,61,42,19,0.02450073750691868,0.0,0.0,0.0,0.01843128846551657,0.06898081417441397,0.4130161744828506,0.08183598509874448,0.018450224582640704,0.011288378916846888,0.031060613526185343,0.17680465661308326,0.03722035931408761,0.021475123654103548,0.08218483800217267,0.776149553028151,0.09715743481195781,0.0202852004396933,0.047002575681925875,0.22144727795333327,0.05141927491123835
MSCI ACWI IMI GENOMIC INNOVATION SELECT ESG SCREENED 100,61,42,19,0.028955610161988072,0.0,0.0,0.0,0.03111138585612563,0.05999386117617861,0.3441745695872117,0.07110845753777152,0.031086218870709552,0.001,0.05450809062634456,0.3211063133139131,0.06526490864153617,0.029591234105639845,0.11261998394792631,1.1898456073431254,0.13608871318988378,0.033880513169673304,0.037351338538980455,0.23685095352853047,0.04617644193494946
MSCI ACWI IMI SDG 3 Good Health and Well-being Select Index,61,42,19,0.008356059073901086,0.0,0.0,0.0,0.008364823472680125,0.01019075175159626,0.07603392527774357,0.012666624070156486,0.010292140920023805,0.001,0.020199104719082185,0.15801625212149462,0.024654318559116817,0.01016579207787899,0.05424909356580707,0.6281066119666948,0.06935283411467151,0.013024246209446881,0.030852368465010372,0.14841521742537794,0.035844086254618907
MSCI ACWI IMI SDG 6 Clean Water and Sanitation Select Index,61,42,19,0.01586601554902235,0.0,0.0,0.0,0.014878952635359353,0.05046296647199979,0.3546701252860235,0.06123659869211167,0.014785278079723142,0.001,0.04450328114645597,0.27764369139456674,0.05364245373842262,0.014550977522652567,0.0646620101345254,0.6539572086588974,0.07993953064665459,0.015294562522605528,0.022305241748820558,0.14376943890542707,0.02735170429397746
MSCI ACWI IMI SDG Impact Select Index,61,42,19,0.028319904037195507,0.0,0.0,0.0,0.017457501807689353,0.03706346468813448,0.24640475003453158,0.04872290518888445,0.01720716553886963,0.0069519279617756054,0.03027513009086844,0.18566428176292826,0.036342484235228276,0.018149341607648656,0.06536190226187832,0.7788483324064478,0.08194341599520404,0.0172876125642097,0.021905331146602904,0.13976906859504876,0.025883647246203515
MSCI ACWI IMI SDG 11 Sustainable Cities and Communities Select Index,61,42,19,0.026084302825449178,0.0,0.0,0.0,0.023241581865600155,0.04519959496769867,0.27440771692529975,0.05863367119862681,0.02292355142522824,0.001,0.04061659624184229,0.23420887857389458,0.0528462955097131,0.02983103333305181,0.07341324474680788,0.8885619511612018,0.09204786978425278,0.022753017715532863,0.021385431710169513,0.1650380023749588,0.031433382689049195
MSCI ACWI IMI SDG 12 Responsible Consumption and Production Select Index,61,42,19,0.03427546844307725,0.0,0.0,0.0,0.024716436911228826,0.04086121220013955,0.2518228592776943,0.0511166304873688,0.02476983613334894,0.001,0.04069477888331472,0.24253590345497328,0.050802587938428685,0.0279054247550623,0.07859520628292814,1.0423951698609981,0.1001887957788012,0.026867247019897948,0.02487974860211385,0.20219810004505043,0.03174890338888172
